Thread: 154 Enqueued Item:   689 At Time: Dec 07,2015 21:36:12 
Thread:  20 Enqueued Item:   978 At Time: Dec 07,2015 21:36:12 
Thread:  45 Dequeued Item:  1195 At Time: Dec 07,2015 21:36:12 
Thread:  56 Enqueued Item:   863 At Time: Dec 07,2015 21:36:12 
Thread: 298 Pushed Item:     863 At Time: Dec 07,2015 21:36:12 
Thread:  28 Enqueued Item:  1022 At Time: Dec 07,2015 21:36:12 
Thread:  64 Enqueued Item:  1110 At Time: Dec 07,2015 21:36:12 
Thread: 299 Enqueued Item:  1031 At Time: Dec 07,2015 21:36:12 
Thread:   3 Dequeued Item:   597 At Time: Dec 07,2015 21:36:12 
Thread:   6 Enqueued Item:   717 At Time: Dec 07,2015 21:36:13 
Thread:  41 Dequeued Item:   843 At Time: Dec 07,2015 21:36:13 
Thread:  49 Dequeued Item:   662 At Time: Dec 07,2015 21:36:13 
Thread: 256 Pushed Item:     752 At Time: Dec 07,2015 21:36:13 
Thread:  86 Enqueued Item:  1093 At Time: Dec 07,2015 21:36:13 
Thread:  10 Enqueued Item:  1015 At Time: Dec 07,2015 21:36:13 
Thread:  18 Pushed Item:     468 At Time: Dec 07,2015 21:36:13 
Thread:  14 Pushed Item:    1096 At Time: Dec 07,2015 21:36:13 
Thread:   0 Pushed Item:    1013 At Time: Dec 07,2015 21:36:13 
Thread:  21 Dequeued Item:  1006 At Time: Dec 07,2015 21:36:13 
Thread:  35 Dequeued Item:   921 At Time: Dec 07,2015 21:36:13 
Thread:  67 Dequeued Item:   978 At Time: Dec 07,2015 21:36:13 
Thread: 112 Pushed Item:     350 At Time: Dec 07,2015 21:36:13 
Thread: 182 Enqueued Item:  1075 At Time: Dec 07,2015 21:36:13 
Thread:  40 Pushed Item:     797 At Time: Dec 07,2015 21:36:13 
Thread:  90 Dequeued Item:   746 At Time: Dec 07,2015 21:36:13 
Thread:  32 Pushed Item:     956 At Time: Dec 07,2015 21:36:13 
Thread:  46 Enqueued Item:  1038 At Time: Dec 07,2015 21:36:13 
Thread:  68 Enqueued Item:  1184 At Time: Dec 07,2015 21:36:13 
Thread:  97 Dequeued Item:   875 At Time: Dec 07,2015 21:36:13 
Thread:  54 Enqueued Item:   868 At Time: Dec 07,2015 21:36:13 
Thread:  30 Dequeued Item:   522 At Time: Dec 07,2015 21:36:13 
Thread: 142 Pushed Item:    1030 At Time: Dec 07,2015 21:36:13 
Thread: 136 Pushed Item:    1499 At Time: Dec 07,2015 21:36:13 
Thread:  84 Enqueued Item:  1276 At Time: Dec 07,2015 21:36:13 
Thread: 103 Dequeued Item:   808 At Time: Dec 07,2015 21:36:13 
Thread: 152 Enqueued Item:  1508 At Time: Dec 07,2015 21:36:13 
Thread:  23 Dequeued Item:   883 At Time: Dec 07,2015 21:36:13 
Thread:  92 Pushed Item:     874 At Time: Dec 07,2015 21:36:13 
Thread: 210 Enqueued Item:  1034 At Time: Dec 07,2015 21:36:13 
Thread:  17 Dequeued Item:  1027 At Time: Dec 07,2015 21:36:13 
Thread: 204 Pushed Item:    1103 At Time: Dec 07,2015 21:36:13 
Thread:  70 Pushed Item:    1294 At Time: Dec 07,2015 21:36:13 
Thread:  36 Pushed Item:    1220 At Time: Dec 07,2015 21:36:13 
Thread:  19 Dequeued Item:  1034 At Time: Dec 07,2015 21:36:13 
Thread: 163 Dequeued Item:  1285 At Time: Dec 07,2015 21:36:13 
Thread: 127 Dequeued Item:  1164 At Time: Dec 07,2015 21:36:13 
Thread:   8 Pushed Item:    1080 At Time: Dec 07,2015 21:36:13 
Thread: 123 Dequeued Item:  1035 At Time: Dec 07,2015 21:36:13 
Thread: 109 Dequeued Item:   978 At Time: Dec 07,2015 21:36:13 
Thread:  96 Pushed Item:    1039 At Time: Dec 07,2015 21:36:13 
Thread: 239 Enqueued Item:   860 At Time: Dec 07,2015 21:36:13 
Thread: 100 Pushed Item:    1108 At Time: Dec 07,2015 21:36:13 
Thread: 199 Dequeued Item:   873 At Time: Dec 07,2015 21:36:13 
Thread: 135 Dequeued Item:   994 At Time: Dec 07,2015 21:36:13 
Thread: 102 Enqueued Item:   706 At Time: Dec 07,2015 21:36:13 
Thread: 125 Dequeued Item:  1318 At Time: Dec 07,2015 21:36:13 
Thread:  26 Pushed Item:    1158 At Time: Dec 07,2015 21:36:13 
Thread:  81 Dequeued Item:   940 At Time: Dec 07,2015 21:36:13 
Thread:  60 Enqueued Item:  1228 At Time: Dec 07,2015 21:36:13 
Thread:  48 Dequeued Item:  1048 At Time: Dec 07,2015 21:36:13 
Thread: 111 Dequeued Item:   767 At Time: Dec 07,2015 21:36:13 
Thread: 118 Enqueued Item:  1219 At Time: Dec 07,2015 21:36:13 
Thread:  88 Enqueued Item:  1008 At Time: Dec 07,2015 21:36:13 
Thread:  53 Dequeued Item:   874 At Time: Dec 07,2015 21:36:13 
Thread: 115 Dequeued Item:   860 At Time: Dec 07,2015 21:36:13 
Thread:  73 Dequeued Item:   560 At Time: Dec 07,2015 21:36:13 
Thread: 234 Enqueued Item:   642 At Time: Dec 07,2015 21:36:13 
Thread:  98 Pushed Item:    1084 At Time: Dec 07,2015 21:36:13 
Thread: 200 Enqueued Item:  1053 At Time: Dec 07,2015 21:36:13 
Thread: 108 Dequeued Item:  1086 At Time: Dec 07,2015 21:36:13 
Thread: 149 Dequeued Item:   868 At Time: Dec 07,2015 21:36:13 
Thread: 193 Dequeued Item:   808 At Time: Dec 07,2015 21:36:13 
Thread:  51 Dequeued Item:   979 At Time: Dec 07,2015 21:36:13 
Thread: 107 Enqueued Item:  1205 At Time: Dec 07,2015 21:36:13 
Thread:  99 Dequeued Item:  1109 At Time: Dec 07,2015 21:36:13 
Thread: 134 Pushed Item:    1160 At Time: Dec 07,2015 21:36:13 
